nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.0,0.0,0.0,0.0,0.0,0.0,0.4498249,0.14448304,0.5472753,0.13988024,0.3984828,0.23800536,0.6066971,0.24247873,0.3826358,0.3374674,0.6691842,0.37261134,0.0,0.0,0.6199426,0.457424,0.38813284,0.47575998,0.58981967,0.4835916,0.29002193,0.61591583,0.7383453,0.641456,0.13896523,0.7508304,0.7892185,0.85496235
0.0,0.0,0.0,0.0,0.0,0.0,0.4490286,0.14460473,0.54706085,0.13986354,0.3958933,0.23861277,0.605952,0.24286647,0.37327203,0.33587575,0.6690938,0.36808342,0.0,0.0,0.6147095,0.43668652,0.38757196,0.47630474,0.590112,0.48423362,0.29095903,0.6175657,0.73892015,0.643706,0.13077566,0.75106514,0.7926749,0.8556862
0.0,0.0,0.0,0.0,0.0,0.0,0.4395919,0.1395182,0.54093033,0.14094746,0.38796732,0.24049874,0.60262376,0.25607857,0.36404824,0.34730372,0.6685687,0.39188024,0.0,0.0,0.6145584,0.41808745,0.37689605,0.47192675,0.5768484,0.4814264,0.28027368,0.6295344,0.72809726,0.6427218,0.13805234,0.77231574,0.78645647,0.84174025
0.0,0.0,0.0,0.0,0.0,0.0,0.45119685,0.13870786,0.55272603,0.13837038,0.39947966,0.24048996,0.60782576,0.25472233,0.3697398,0.3443705,0.6742769,0.38648993,0.0,0.0,0.6332696,0.41588512,0.3931801,0.46992356,0.5866459,0.47911853,0.30398518,0.6254951,0.73888427,0.6351788,0.16235885,0.7585896,0.7868833,0.8253134
0.0,0.0,0.0,0.0,0.0,0.0,0.450625,0.1442792,0.5460243,0.13850737,0.3979398,0.2396175,0.6079008,0.23798947,0.37553534,0.34670886,0.6781403,0.36534902,0.0,0.0,0.64943415,0.41870752,0.3907368,0.4814053,0.59462357,0.48151714,0.2895209,0.6391522,0.75830513,0.6282674,0.13641204,0.78439677,0.80084884,0.8351023
0.0,0.0,0.0,0.0,0.0,0.0,0.43922585,0.14625931,0.5352553,0.14094858,0.3879253,0.24399467,0.5916776,0.24808326,0.36939687,0.35694426,0.6635692,0.39097294,0.0,0.0,0.6312731,0.41931573,0.3819352,0.48479187,0.5795646,0.48811066,0.29649353,0.64040375,0.7462693,0.6345781,0.14431351,0.7785622,0.79928374,0.8404204
0.0,0.0,0.0,0.0,0.0,0.0,0.4234243,0.14893222,0.5218343,0.14609426,0.37429956,0.25455225,0.57526416,0.25007772,0.35763073,0.36109012,0.6512781,0.3712466,0.0,0.0,0.6378711,0.4280505,0.36445212,0.48897484,0.55525744,0.49196595,0.29614773,0.645439,0.72547096,0.64611363,0.17016338,0.79270625,0.79762447,0.83892834
0.0,0.0,0.0,0.0,0.0,0.0,0.4170769,0.14920928,0.51924956,0.15302177,0.3714209,0.25664678,0.5848391,0.27071464,0.34884533,0.3771939,0.6471941,0.42550582,0.0,0.0,0.5878365,0.44991967,0.35816923,0.50360745,0.5483339,0.5061966,0.3021149,0.6569477,0.7144572,0.6478195,0.17975272,0.81775635,0.7698053,0.85213774
0.0,0.0,0.0,0.0,0.0,0.0,0.39443257,0.15348534,0.5004916,0.1521103,0.3429312,0.2609918,0.5506203,0.2690192,0.32907635,0.37552163,0.6263308,0.41828707,0.0,0.0,0.5749793,0.45476678,0.34390208,0.50173277,0.5372246,0.50939715,0.2788557,0.66140306,0.7004394,0.6622078,0.15072346,0.81842107,0.777579,0.843595
0.0,0.0,0.0,0.0,0.0,0.0,0.38186166,0.15251546,0.48394507,0.15116346,0.3281513,0.26041633,0.5340588,0.2678659,0.3071066,0.36773947,0.6097312,0.4123496,0.0,0.0,0.58326685,0.4481606,0.3277429,0.501108,0.5191807,0.5081178,0.2691533,0.66052556,0.68221855,0.65986633,0.14232954,0.8196484,0.7804313,0.8449171
0.0,0.0,0.0,0.0,0.0,0.0,0.3640298,0.15287335,0.46305516,0.1505947,0.3181634,0.257544,0.5129811,0.26683384,0.28875154,0.37305614,0.58859086,0.4281597,0.0,0.0,0.5299679,0.46235487,0.31189248,0.49820447,0.49643853,0.5049936,0.2549786,0.65967184,0.6627724,0.6591481,0.13038282,0.8147079,0.7886984,0.85216546
0.0,0.0,0.0,0.0,0.0,0.0,0.35670084,0.15174222,0.45663977,0.15267123,0.31877646,0.2596581,0.50744927,0.26941893,0.28440338,0.37014917,0.57763475,0.40298164,0.0,0.0,0.5410642,0.45394084,0.31383342,0.49681938,0.49255964,0.5010845,0.25565246,0.6540236,0.64646137,0.6491265,0.107127525,0.8147831,0.78670967,0.8550005
0.0,0.0,0.0,0.0,0.0,0.0,0.35003373,0.15542972,0.44848213,0.15496814,0.3098845,0.25990358,0.49747267,0.27426928,0.2760837,0.37955767,0.5712545,0.43997833,0.0,0.0,0.5061759,0.4707703,0.3004086,0.4975833,0.48165992,0.50399256,0.23899657,0.66223204,0.6402621,0.6540684,0.097096786,0.8152863,0.8108128,0.8515824
0.0,0.0,0.0,0.0,0.0,0.0,0.34413353,0.15104733,0.44487154,0.15446234,0.29300556,0.26445022,0.5001794,0.27623236,0.26403192,0.39126894,0.5687831,0.44384533,0.0,0.0,0.5027599,0.4697261,0.2778938,0.50814855,0.46667868,0.50980556,0.23237486,0.6728478,0.63779104,0.64806545,0.13392162,0.8360462,0.78249526,0.8451973
0.0,0.0,0.0,0.0,0.0,0.0,0.35017663,0.15311408,0.44532752,0.15243217,0.31199315,0.25756165,0.49393404,0.27220824,0.2772836,0.37672496,0.5599978,0.44285613,0.0,0.0,0.51082397,0.46761993,0.3009003,0.5017232,0.48034486,0.5082794,0.23566543,0.6699309,0.64986134,0.6604673,0.094488986,0.81437826,0.81567216,0.8569946
0.0,0.0,0.0,0.0,0.0,0.0,0.36260784,0.15842053,0.45864043,0.15752201,0.32269835,0.26049364,0.5003068,0.27493113,0.28923064,0.3746952,0.5584312,0.45608786,0.0,0.0,0.47997433,0.4897038,0.30494156,0.51202434,0.48178142,0.5172606,0.2347859,0.67495453,0.64719903,0.656792,0.108102515,0.8174876,0.8073894,0.8468788
0.0,0.0,0.0,0.0,0.0,0.0,0.37565678,0.16683598,0.47489858,0.16408949,0.338676,0.2693361,0.5043295,0.2803175,0.28260368,0.4008238,0.5593526,0.45977372,0.0,0.0,0.4924623,0.49792486,0.318585,0.51489,0.48882395,0.5183001,0.23557732,0.67607284,0.65051776,0.6558738,0.10001906,0.8267033,0.802936,0.8619852
0.0,0.0,0.0,0.0,0.0,0.0,0.38356712,0.17114507,0.47891667,0.16984287,0.3428161,0.27527755,0.5064269,0.28060383,0.29648986,0.38997513,0.5513228,0.45896244,0.0,0.0,0.5625083,0.5566548,0.3116561,0.5243827,0.48535627,0.5257141,0.22755541,0.6824589,0.66649085,0.6539137,0.09315869,0.82222784,0.8059033,0.8641542
0.0,0.0,0.0,0.0,0.0,0.0,0.40752238,0.1636999,0.5039165,0.16304106,0.36325443,0.2683007,0.5293941,0.28096965,0.32971764,0.38861808,0.5678217,0.47178555,0.0,0.0,0.5520779,0.47905222,0.32339308,0.53742063,0.49664065,0.5396544,0.23711471,0.68738425,0.6796319,0.64598346,0.1187439,0.8221344,0.78988075,0.84841615
0.0,0.0,0.0,0.0,0.0,0.0,0.4085244,0.1586815,0.5006669,0.16101493,0.36675614,0.26979986,0.5404648,0.28522122,0.3329601,0.39602312,0.5800626,0.4583826,0.0,0.0,0.56381476,0.4932774,0.33613145,0.5268239,0.51259065,0.5273281,0.2584682,0.6781096,0.69215935,0.64968187,0.12194861,0.8316981,0.79280275,0.86240274
0.0,0.0,0.0,0.0,0.0,0.0,0.42052102,0.16630262,0.51175785,0.16589631,0.38955313,0.27788138,0.53751427,0.2889277,0.0,0.0,0.56762636,0.46236378,0.0,0.0,0.629934,0.4855173,0.34643096,0.53164434,0.5172239,0.5335841,0.25189993,0.6821952,0.71214604,0.64700305,0.08404584,0.81439215,0.7948395,0.8657369
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55141866,0.16640738,0.42422658,0.28664666,0.56445473,0.28906724,0.45698106,0.43486345,0.59079784,0.47676274,0.0,0.0,0.67230064,0.49615094,0.3672252,0.5469871,0.5383158,0.54497963,0.2521204,0.6890757,0.7384238,0.6412088,0.09047252,0.82082736,0.79463875,0.8687233
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578496,0.15827322,0.44049287,0.267726,0.59444386,0.2895146,0.35065773,0.40609217,0.6143936,0.4649022,0.0,0.0,0.7309487,0.49671757,0.3874404,0.5437225,0.54948294,0.54526204,0.27838168,0.67713225,0.7513821,0.63114905,0.13154191,0.8185554,0.7740869,0.8536823
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086853,0.1586032,0.45902607,0.26288942,0.61381173,0.2893383,0.47876707,0.384776,0.63585293,0.46724027,0.0,0.0,0.79954785,0.490418,0.39031324,0.5368761,0.5639168,0.54147214,0.28773612,0.6887626,0.77131015,0.6312206,0.1335564,0.82790554,0.7767022,0.85508126
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6290691,0.1604766,0.5243885,0.28212342,0.62283766,0.278022,0.60122085,0.40736756,0.67372954,0.43009597,0.0,0.0,0.78358537,0.4868663,0.43658003,0.53103083,0.57913846,0.52559525,0.29987943,0.688203,0.77910113,0.6428546,0.12077276,0.8140057,0.7653957,0.8601714
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6147828,0.16113602,0.5155376,0.27897564,0.6070741,0.2762446,0.59742785,0.40545276,0.6501182,0.42305443,0.0,0.0,0.75861233,0.48368254,0.4329808,0.5281872,0.5673569,0.52327025,0.29594448,0.6867439,0.76449645,0.6435499,0.1277548,0.8159061,0.747431,0.8590485
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353024,0.15059319,0.53400725,0.2679831,0.6315295,0.26500797,0.5987485,0.4118352,0.6621911,0.44466203,0.0,0.0,0.77389705,0.4776295,0.4444764,0.5289553,0.58008236,0.5236,0.33248532,0.69544804,0.76431555,0.6557,0.1484207,0.7993771,0.72341126,0.86089855
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6457445,0.15884937,0.5519371,0.2693822,0.6280708,0.26603565,0.614562,0.4024802,0.6619032,0.43083695,0.0,0.0,0.80961436,0.46645126,0.4487238,0.52413607,0.56897914,0.5191411,0.33002305,0.6989302,0.7597362,0.6612967,0.13580568,0.7965191,0.7017707,0.8677298
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551926,0.15542544,0.55626833,0.2579895,0.647541,0.2639028,0.6142568,0.38812697,0.6877933,0.40415618,0.7769943,0.4356434,0.79778683,0.45049578,0.4513407,0.51052034,0.57189643,0.5144669,0.34728602,0.6884088,0.7292684,0.67266846,0.1424673,0.79924864,0.67086285,0.86579794
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66386855,0.15844548,0.5750127,0.2465501,0.64882636,0.26524445,0.63452655,0.36574134,0.6931362,0.420647,0.73339635,0.34446648,0.83296204,0.42543343,0.4642614,0.5064804,0.5679909,0.5133463,0.36251986,0.68160737,0.7095982,0.67467237,0.1417601,0.78174865,0.6390132,0.8623309
